src_x,src_y,ref_x,ref_y,confidence
2155.5703125,5029.6640625,155.18582153320312,86.04242706298828,0.35152509808540344
2874.09375,5029.6640625,193.6098175048828,81.76033782958984,0.2255805879831314
2155.5703125,5748.1875,163.6648406982422,116.78101348876953,0.48045480251312256
2874.09375,5748.1875,152.53334045410156,1038.5853271484375,0.3495711386203766
2155.5703125,6466.7109375,77.43258666992188,200.03697204589844,0.22654610872268677
2155.5703125,11496.375,78.51329803466797,993.0059814453125,0.23221531510353088
2155.5703125,15807.515625,127.82559967041016,352.81683349609375,0.5005812644958496
2155.5703125,16526.0390625,123.68714904785156,407.93231201171875,0.7325948476791382
9340.8046875,16526.0390625,198.43255615234375,474.0250244140625,0.4052194356918335
8622.28125,17244.5625,155.47862243652344,519.7230834960938,0.4813307821750641
9340.8046875,17244.5625,199.64035034179688,519.6128540039062,0.6723915338516235
10059.328125,22274.2265625,203.54513549804688,400.62176513671875,0.24560189247131348
7185.234375,27303.890625,203.8427734375,1712.1944580078125,0.40293750166893005
7185.234375,28022.4140625,191.06427001953125,1747.9425048828125,0.3704208433628082
10059.328125,30177.984375,191.83140563964844,1598.0478515625,0.48939117789268494
9340.8046875,30896.5078125,120.5821762084961,1624.5885009765625,0.4050864279270172
10059.328125,30896.5078125,192.2685546875,1659.459716796875,0.32687389850616455
8622.28125,32333.5546875,204.36924743652344,595.3068237304688,0.23737378418445587
5029.6640625,33052.078125,123.59957122802734,917.5599365234375,0.25689566135406494
9340.8046875,33770.6015625,208.1254119873047,4414.77197265625,0.2202039211988449
4311.140625,35207.6484375,123.89893341064453,1510.3822021484375,0.2079593986272812
6466.7109375,36644.6953125,80.95292663574219,2734.29638671875,0.21721245348453522
6466.7109375,37363.21875,158.79397583007812,2269.891845703125,0.2532968521118164
7185.234375,38081.7421875,196.8221435546875,2353.54296875,0.36760345101356506
9340.8046875,39518.7890625,194.20632934570312,2503.720947265625,0.3150629699230194
8622.28125,45266.9765625,205.20372009277344,2775.11328125,0.2090381383895874
6466.7109375,48859.59375,164.21751403808594,2149.6357421875,0.21006855368614197
1437.046875,51733.6875,128.4293975830078,3253.137451171875,0.541322648525238
7185.234375,54607.78125,192.2156219482422,3414.2392578125,0.20906421542167664
7903.7578125,56044.828125,154.28219604492188,3531.485595703125,0.2703932821750641
7903.7578125,56763.3515625,155.37059020996094,3577.89111328125,0.5452414155006409
6466.7109375,58200.3984375,124.25901794433594,2138.601806640625,0.21004776656627655
10059.328125,58918.921875,200.47169494628906,4442.13916015625,0.2860725224018097
2155.5703125,63230.0625,166.4136505126953,3221.45166015625,0.2017744481563568
2874.09375,65385.6328125,170.06881713867188,4130.71240234375,0.3168817460536957
6466.7109375,66822.6796875,173.57286071777344,3410.114013671875,0.31574302911758423
1437.046875,67541.203125,76.90393829345703,3892.071044921875,0.2516680359840393
6466.7109375,67541.203125,161.904296875,3456.124267578125,0.2604840397834778
2155.5703125,68259.7265625,121.74093627929688,3970.700927734375,0.23089522123336792
9340.8046875,69696.7734375,76.19773864746094,4925.91064453125,0.2862999737262726
10059.328125,70415.296875,81.56681060791016,4960.07080078125,0.5783796906471252
5029.6640625,77600.53125,211.23858642578125,3863.9033203125,0.2056419849395752
4311.140625,79037.578125,189.598876953125,3931.08349609375,0.23866496980190277
3592.6171875,79756.1015625,201.91348266601562,4721.35546875,0.3820887506008148
2874.09375,80474.625,85.10965728759766,4804.45751953125,0.3836943507194519
10059.328125,81193.1484375,82.9128189086914,4561.07470703125,0.22616074979305267
5029.6640625,83348.71875,159.6331329345703,4531.47900390625,0.40011945366859436
3592.6171875,84067.2421875,122.75480651855469,2812.5546875,0.3227332532405853
5029.6640625,84067.2421875,153.41815185546875,4561.927734375,0.32075002789497375
10059.328125,85504.2890625,195.40426635742188,4207.236328125,0.42594894766807556
2874.09375,86222.8125,75.69708251953125,2900.63720703125,0.4183073341846466
5748.1875,86941.3359375,164.44015502929688,4967.4921875,0.21196968853473663
